<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20210514,000000,5982.0000000,5984.0000000,5924.0000000,5954.0000000,649
AKRN,D,20210517,000000,5932.0000000,6000.0000000,5920.0000000,5946.0000000,1355
AKRN,D,20210518,000000,5970.0000000,6030.0000000,5950.0000000,6010.0000000,6770
AKRN,D,20210519,000000,6018.0000000,6056.0000000,5966.0000000,6024.0000000,4966
AKRN,D,20210520,000000,6042.0000000,6096.0000000,6042.0000000,6076.0000000,1522
AKRN,D,20210521,000000,6066.0000000,6090.0000000,6010.0000000,6070.0000000,1619
AKRN,D,20210524,000000,6052.0000000,6080.0000000,6024.0000000,6058.0000000,2010
AKRN,D,20210525,000000,6082.0000000,6094.0000000,6054.0000000,6068.0000000,1373
AKRN,D,20210526,000000,6038.0000000,6040.0000000,6000.0000000,6000.0000000,6000
AKRN,D,20210527,000000,5998.0000000,6002.0000000,5930.0000000,5950.0000000,3353
AKRN,D,20210528,000000,5966.0000000,5992.0000000,5966.0000000,5982.0000000,1058
AKRN,D,20210531,000000,5990.0000000,6212.0000000,5968.0000000,6050.0000000,3529
AKRN,D,20210601,000000,6044.0000000,6096.0000000,6014.0000000,6048.0000000,1382
AKRN,D,20210602,000000,6078.0000000,6080.0000000,6020.0000000,6036.0000000,1480
AKRN,D,20210603,000000,6058.0000000,6082.0000000,5980.0000000,6000.0000000,3266
AKRN,D,20210604,000000,6000.0000000,6038.0000000,5974.0000000,6030.0000000,1616
AKRN,D,20210607,000000,5912.0000000,6020.0000000,5912.0000000,5988.0000000,4012
AKRN,D,20210608,000000,6000.0000000,6000.0000000,5962.0000000,5982.0000000,1250
AKRN,D,20210609,000000,5980.0000000,5980.0000000,5920.0000000,5960.0000000,941
AKRN,D,20210610,000000,5956.0000000,5960.0000000,5926.0000000,5948.0000000,1906
AKRN,D,20210611,000000,5946.0000000,6020.0000000,5926.0000000,5966.0000000,1205
AKRN,D,20210614,000000,5964.0000000,6118.0000000,5960.0000000,5970.0000000,895
AKRN,D,20210615,000000,5976.0000000,5978.0000000,5952.0000000,5958.0000000,1462
AKRN,D,20210616,000000,5976.0000000,6042.0000000,5900.0000000,5960.0000000,2325
AKRN,D,20210617,000000,6028.0000000,6120.0000000,5978.0000000,6012.0000000,4948
AKRN,D,20210618,000000,5998.0000000,6000.0000000,5970.0000000,5998.0000000,593
AKRN,D,20210621,000000,5976.0000000,5998.0000000,5736.0000000,5950.0000000,3591
AKRN,D,20210622,000000,5812.0000000,5974.0000000,5812.0000000,5950.0000000,1865
AKRN,D,20210623,000000,5978.0000000,5990.0000000,5956.0000000,5966.0000000,1134
AKRN,D,20210624,000000,5990.0000000,6012.0000000,5948.0000000,5948.0000000,1401
AKRN,D,20210625,000000,5970.0000000,5976.0000000,5950.0000000,5960.0000000,1526
AKRN,D,20210628,000000,5990.0000000,5998.0000000,5940.0000000,5950.0000000,672
AKRN,D,20210629,000000,5970.0000000,5970.0000000,5924.0000000,5946.0000000,1437
AKRN,D,20210630,000000,5962.0000000,5970.0000000,5932.0000000,5932.0000000,1540
AKRN,D,20210701,000000,5970.0000000,5982.0000000,5926.0000000,5938.0000000,659
AKRN,D,20210702,000000,5948.0000000,5984.0000000,5940.0000000,5974.0000000,744
AKRN,D,20210705,000000,5976.0000000,5976.0000000,5954.0000000,5966.0000000,713
AKRN,D,20210706,000000,5966.0000000,5986.0000000,5956.0000000,5968.0000000,586
AKRN,D,20210707,000000,5968.0000000,5998.0000000,5960.0000000,5972.0000000,1326
AKRN,D,20210708,000000,5956.0000000,6042.0000000,5894.0000000,6038.0000000,4529
AKRN,D,20210709,000000,6036.0000000,6040.0000000,5948.0000000,6008.0000000,1733
AKRN,D,20210712,000000,6006.0000000,6018.0000000,5970.0000000,5988.0000000,2049
AKRN,D,20210713,000000,5982.0000000,6002.0000000,5950.0000000,5960.0000000,1410
