<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOG-RM,D,20210521,000000,173850.0000000,174145.0000000,172561.0000000,172561.0000000,33
GOOG-RM,D,20210524,000000,173399.0000000,177550.0000000,172750.0000000,177194.0000000,61
GOOG-RM,D,20210525,000000,177743.0000000,178000.0000000,176720.0000000,177320.0000000,59
GOOG-RM,D,20210526,000000,178351.0000000,179599.0000000,177544.0000000,178788.0000000,46
GOOG-RM,D,20210527,000000,177981.0000000,178798.0000000,176914.0000000,176914.0000000,47
GOOG-RM,D,20210528,000000,178152.0000000,178612.0000000,176840.0000000,176840.0000000,37
GOOG-RM,D,20210601,000000,176611.0000000,178887.0000000,176611.0000000,178820.0000000,36
GOOG-RM,D,20210602,000000,178456.0000000,178900.0000000,176136.0000000,177127.0000000,53
GOOG-RM,D,20210603,000000,177496.0000000,177589.0000000,175004.0000000,176040.0000000,59
GOOG-RM,D,20210604,000000,175829.0000000,177679.0000000,175340.0000000,177572.0000000,113
GOOG-RM,D,20210607,000000,178298.0000000,179898.0000000,177708.0000000,179435.0000000,48
GOOG-RM,D,20210608,000000,180345.0000000,180345.0000000,179146.0000000,179210.0000000,46
GOOG-RM,D,20210609,000000,179400.0000000,180618.0000000,179256.0000000,180300.0000000,85
GOOG-RM,D,20210610,000000,180474.0000000,180994.0000000,178911.0000000,180994.0000000,55
GOOG-RM,D,20210611,000000,180345.0000000,181801.0000000,179958.0000000,181659.0000000,60
GOOG-RM,D,20210614,000000,182100.0000000,182189.0000000,180311.0000000,181931.0000000,55
GOOG-RM,D,20210615,000000,181570.0000000,182700.0000000,181493.0000000,182246.0000000,35
GOOG-RM,D,20210616,000000,181668.0000000,183500.0000000,180484.0000000,181850.0000000,21
GOOG-RM,D,20210617,000000,181234.0000000,184000.0000000,181000.0000000,183031.0000000,24
GOOG-RM,D,20210618,000000,182973.0000000,183451.0000000,181200.0000000,182934.0000000,90
GOOG-RM,D,20210621,000000,184100.0000000,185200.0000000,183363.0000000,185108.0000000,36
GOOG-RM,D,20210622,000000,185289.0000000,185600.0000000,184343.0000000,185435.0000000,36
GOOG-RM,D,20210623,000000,185290.0000000,185290.0000000,184000.0000000,184139.0000000,43
GOOG-RM,D,20210624,000000,184139.0000000,184329.0000000,183613.0000000,183945.0000000,50
GOOG-RM,D,20210625,000000,184114.0000000,184542.0000000,183232.0000000,183582.0000000,39
GOOG-RM,D,20210628,000000,183603.0000000,184495.0000000,181992.0000000,183217.0000000,64
GOOG-RM,D,20210629,000000,183563.0000000,184854.0000000,182600.0000000,183004.0000000,99
GOOG-RM,D,20210630,000000,183200.0000000,184499.0000000,182434.0000000,183290.0000000,79
GOOG-RM,D,20210701,000000,183628.0000000,185217.0000000,182230.0000000,185217.0000000,56
GOOG-RM,D,20210702,000000,186309.0000000,190000.0000000,185564.0000000,190000.0000000,79
GOOG-RM,D,20210706,000000,190000.0000000,192982.0000000,188584.0000000,192982.0000000,116
GOOG-RM,D,20210707,000000,192000.0000000,195338.0000000,192000.0000000,194373.0000000,64
GOOG-RM,D,20210708,000000,193940.0000000,195200.0000000,192353.0000000,193329.0000000,277
GOOG-RM,D,20210709,000000,193329.0000000,193329.0000000,192023.0000000,192599.0000000,29
GOOG-RM,D,20210712,000000,193788.0000000,195000.0000000,193431.0000000,195000.0000000,37
GOOG-RM,D,20210713,000000,193750.0000000,195742.0000000,193575.0000000,195051.0000000,86
GOOG-RM,D,20210714,000000,194957.0000000,197013.0000000,194171.0000000,195903.0000000,96
GOOG-RM,D,20210715,000000,196337.0000000,197000.0000000,194528.0000000,194924.0000000,79
GOOG-RM,D,20210716,000000,194304.0000000,195997.0000000,194177.0000000,195200.0000000,51
GOOG-RM,D,20210719,000000,195183.0000000,196328.0000000,192469.0000000,193121.0000000,81
GOOG-RM,D,20210720,000000,194302.0000000,196003.0000000,193000.0000000,196003.0000000,29
